Token,Coefficient
aa,-0.0
aaa,0.02
aaaa,0.0
aaaaaa,0.0
aaaaaaa,0.0
aaaaaaaaaaaaaaaa,0.0
aaaaaaaaaaaaaaaaaaaaaaaaaaaannnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnuauauauauauauauauaauauauauauuaauau,-0.0
aaaaannn,-0.0
aaaafter,-0.0
aaaannnnnnnn,-0.0
aaaapproval,-0.01
aaaccc,-0.0
aaah,0.0
aaalac,-0.01
aaas,0.0
aaau,0.0
aabb,0.0
aac,0.01
aaccccuummuullaatteedd,-0.01
aaccttiivviittiieess,-0.02
aaccttiivviittyy,-0.0
aacd,-0.0
aacf,-0.0
aachen,0.03
aachener,0.0
aachenwuppertalmülheim,-0.0
aacr,-0.02
aad,0.0
aaddddiittiioonnaall,0.0
aaddddiittiioonns,0.0
aaddjjuusstteeddppuurrcchhaasseepprriiccee,0.0
aadhaar,0.0
aadorf,-0.0
aadr,-0.0
aadtländerli,-0.0
aae,-0.0
aafp,-0.01
aaggmm,-0.0
aahlidhra,0.0
aai,0.0
aaib,-0.0
aaj,-0.0
aaland,0.01
aalbert,-0.0
aalborg,-0.0
aalen,0.0
aalexandra,0.0
aaliyah,0.0
aallll,-0.0
aalltteerrnnaattiivvee,-0.0
aalst,0.0
aalstad,0.0
aalto,-0.0
aam,-0.0
aammoorrttiissaattiioonn,-0.01
aamodt,0.0
aamot,-0.01
aan,0.0
aanalytic,0.0
aandeel,-0.0
aandrea,0.0
aania,0.0
aanndd,-0.02
aannnnuuaall,0.0
aao,0.0
aaom,0.0
aaos,-0.0
aap,0.01
aapa,-0.0
aar,-0.0
aarambh,-0.0
aarated,-0.0
aarau,-0.02
aarauer,-0.0
aarauerstrasse,-0.0
aarberg,0.0
aarbergen,0.0
aarburg,-0.0
aarburgerstrasse,-0.01
aare,-0.03
aarehus,0.0
aarepark,0.01
aarewerke,0.0
aargau,-0.01
aargauer,-0.01
aargauische,-0.01
aarhu,-0.0
aarhus,0.0
aaria,0.0
aaron,0.0
aaronco,0.0
aarp,0.0
aarpharma,-0.0
aart,-0.01
aashima,0.0
aasociate,0.0
aasssseettss,-0.04
aastra,0.0
aat,-0.01
aatb,0.02
aatd,0.0
aathal,-0.0
aatrex,0.0
aatt,-0.04
aauuddiitt,-0.0
aav,0.01
ab,0.02
aba,0.0
ababa,0.0
abac,0.01
abaca,0.01
abacavir,0.0
abacus,0.0
abad,0.0
abadia,0.0
abaisser,-0.0
abakan,-0.0
abalec,-0.0
abamectin,0.0
abandon,0.01
abandonment,0.0
abandonné,0.0
abandonnée,-0.0
abandonnées,0.0
abanka,-0.0
abantis,0.0
abanza,-0.0
abasis,0.0
abasolo,0.0
abasov,-0.0
abatacept,0.0
abate,-0.0
abatec,-0.0
abatement,-0.01
abattoir,-0.01
abavent,-0.0
abaxx,-0.02
abb,-0.41
abbannual,-0.0
abbassi,-0.0
abbau,-0.0
abbaye,-0.0
abbeq,0.0
abberufungsanträge,-0.0
abbestate,0.0
abbeville,0.0
abbey,0.0
abbn,0.0
abbne,-0.0
abbot,0.0
abbott,0.01
abbreviate,0.0
abbreviated,0.0
abbreviation,0.0
abbruch,-0.0
abbspecific,-0.0
abbssi,-0.0
abbvie,0.02
abby,0.0
